location,bedrooms,sqft,bathrooms,property_age,parking,stories,price
Bhopal,1,2029,1,21,2,3,1898761.68
Pune,2,1910,2,4,2,1,2919710.26
Bhopal,6,3210,1,0,2,4,4095458.17
Bengaluru,1,1748,1,5,0,2,2272381.22
Ahmedabad,5,2682,1,12,2,2,3148013.97
Coimbatore,6,3372,4,4,0,4,4390614.88
Lucknow,3,2023,1,13,0,4,2414852.16
Delhi,3,2216,2,15,0,3,3615431.66
Hyderabad,1,2118,4,18,0,3,3052079.51
Visakhapatnam,3,2343,3,2,0,4,3292127.98
Ahmedabad,1,2103,4,3,0,3,2950028.78
Visakhapatnam,6,2901,3,27,2,2,3749183.06
Coimbatore,1,2113,1,9,2,2,1878668.76
Nagpur,3,2982,1,5,0,1,2162278.77
Kolkata,3,2812,4,2,2,3,4073890.59
Chennai,3,2237,3,8,0,3,3453713.99
Coimbatore,6,2680,1,8,2,2,3818054.67
Ahmedabad,6,2626,2,24,0,4,3816998.27
Kolkata,3,2204,2,0,2,3,3581629.95
Visakhapatnam,1,2171,2,21,0,3,1959704.22
Kolkata,3,2041,1,25,0,3,2402279.71
Pune,6,2767,4,1,1,4,5729913.04
Chennai,3,2092,2,21,0,3,2958024.01
Coimbatore,5,3197,4,14,2,4,4483317.37
Delhi,2,2294,2,22,2,4,3655177.43
Hyderabad,1,2288,1,14,0,2,2031922.55
Nagpur,6,2478,4,0,2,1,3980346.3
Kolkata,4,2431,4,15,2,3,4276392.19
Ahmedabad,1,1842,1,12,2,3,2241749.11
Nagpur,6,2834,3,2,0,3,3792799.35
Kolkata,2,2229,4,27,0,3,2797047.95
Ahmedabad,2,2210,1,26,2,3,2483860.4
Visakhapatnam,6,2782,2,26,0,3,3431556.89
Nagpur,2,2436,1,26,2,3,2108382.4
Jaipur,1,1717,1,6,1,3,2138482.34
Pune,1,2351,2,25,2,1,2143941.88
Hyderabad,6,3161,4,12,0,2,4974617.14
Chennai,6,3057,4,10,2,2,5307610.88
Mumbai,5,2938,4,15,0,2,5230662.5
Coimbatore,3,2374,4,29,2,3,3477135.05
Jaipur,5,2481,4,8,0,2,3932905.73
Pune,1,2166,3,15,0,2,2378816.09
Lucknow,2,2029,1,4,0,1,1851743.48
Pune,1,1988,1,7,1,1,1962539.98
Ahmedabad,2,2617,3,7,2,4,3456772.56
Pune,5,2531,2,18,2,4,4706474.09
Pune,4,2952,4,2,0,1,4187157.08
Hyderabad,6,3031,4,5,1,4,5948439.11
Kolkata,4,2465,1,20,2,1,2803580.92
Bengaluru,4,2682,3,6,0,2,4374039.68
Pune,2,2163,4,20,0,4,3531541.69
Chennai,3,2781,4,4,0,1,3562638.41
Jaipur,5,2416,1,27,0,1,2613939.02
Hyderabad,2,2107,2,19,1,4,3358475.82
Jaipur,2,2499,4,15,0,2,2965761.73
Kolkata,1,2175,4,26,1,4,2908305.99
Mumbai,4,2867,4,10,0,2,4919021.34
Mumbai,2,2417,1,26,2,1,2618835.06
Coimbatore,3,2325,1,19,0,4,2615823.79
Ahmedabad,5,2798,2,0,0,1,3347144.57
Visakhapatnam,2,2156,1,0,2,1,2106956.23
Bhopal,2,2485,4,20,0,2,2273208.41
Lucknow,5,2310,1,21,2,1,2962828.43
Kolkata,6,2844,3,22,1,2,3963985.43
Bhopal,6,3290,3,19,0,3,3716567.71
Kolkata,2,2094,3,11,1,3,3056040.22
Nagpur,1,1668,1,29,1,1,1076710.77
Hyderabad,5,2968,2,18,2,3,4543277.46
Chennai,3,2263,1,17,0,3,3076814.79
Mumbai,2,2074,4,21,2,3,4371813.64
Lucknow,6,2521,1,28,2,3,3563248.89
Bhopal,1,1987,2,28,1,1,1582341.1
Hyderabad,6,2699,2,25,1,3,4403626.73
Lucknow,2,2079,3,16,0,3,2444411.96
Ahmedabad,4,2725,3,17,0,1,2943293.09
Bhopal,4,2740,3,29,0,1,2404831.57
Delhi,2,2335,3,26,0,4,3360943.06
Ahmedabad,6,3386,4,21,2,1,4289278.63
Hyderabad,1,1661,2,24,2,1,2118828.6
Visakhapatnam,3,2459,2,27,1,2,2417722.5
Bengaluru,3,2633,3,23,0,3,4356646.38
Pune,6,3266,2,23,2,1,4318133.51
Delhi,5,2898,4,11,2,2,5498616.91
Pune,2,2242,2,1,1,1,2654688.93
Chennai,6,3641,3,8,1,2,4709933.08
Mumbai,2,1972,1,1,1,1,2952545.45
Visakhapatnam,4,2437,2,3,0,4,3379630.87
Delhi,3,2785,2,6,0,1,3274790.62
Bhopal,2,2250,4,1,1,3,3050425.03
